date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-02-26,sz.300094,3.6200,3.7100,3.6200,3.6600,3.6300,44081892,160982051.1600,3,3.989500,1,0.826400,-10.976530,1.653238,1.045284,-82.431193,0
2025-02-27,sz.300094,3.6600,3.8200,3.6500,3.7700,3.6600,96501166,361080231.6500,3,8.733400,1,3.005500,-11.306426,1.702925,1.076699,-84.908633,0
2025-02-28,sz.300094,3.7300,3.8600,3.6500,3.6600,3.7700,90518400,341022829.6000,3,8.192000,1,-2.917800,-10.976530,1.653238,1.045284,-82.431193,0
2025-03-03,sz.300094,3.6900,3.7000,3.6000,3.6300,3.6600,50997293,186058982.3200,3,4.615300,1,-0.819700,-10.886558,1.639687,1.036716,-81.755527,0
2025-03-04,sz.300094,3.6000,3.6300,3.5300,3.6200,3.6300,39426075,140777357.0200,3,3.568100,1,-0.275500,-10.856568,1.635170,1.033860,-81.530305,0
2025-03-05,sz.300094,3.6300,3.7800,3.6300,3.6800,3.6200,49572192,182977512.3600,3,4.486300,1,1.657500,-11.036511,1.662272,1.050996,-82.881636,0
2025-03-06,sz.300094,3.6800,3.7000,3.6100,3.7000,3.6800,53044247,194144009.5500,3,4.800600,1,0.543500,-11.096492,1.671306,1.056708,-83.332080,0
2025-03-07,sz.300094,3.6800,3.6900,3.5900,3.6100,3.7000,41718900,151577091.0000,3,3.775600,1,-2.432400,-10.826577,1.630653,1.031004,-81.305083,0
2025-03-10,sz.300094,3.6500,3.6800,3.6000,3.6400,3.6100,27347600,99205275.6700,3,2.475000,1,0.831000,-10.916549,1.644204,1.039572,-81.980749,0
2025-03-11,sz.300094,3.6000,3.6500,3.5600,3.6500,3.6400,31767420,114847707.0000,3,2.875000,1,0.274700,-10.946539,1.648721,1.042428,-82.205971,0
2025-03-12,sz.300094,3.6500,3.7700,3.6200,3.7000,3.6500,71840540,264339215.4000,3,6.501600,1,1.369900,-11.096492,1.671306,1.056708,-83.332080,0
2025-03-13,sz.300094,3.6700,3.8000,3.5900,3.7900,3.7000,98148504,362772442.0200,3,8.882500,1,2.432400,-11.366407,1.711959,1.082411,-85.359076,0
2025-03-14,sz.300094,3.8500,4.0900,3.7900,4.0000,3.7900,156796122,619770204.1400,3,14.190200,1,5.540900,-11.996208,1.806817,1.142387,-90.088735,0
2025-03-17,sz.300094,4.0200,4.2300,4.0000,4.0000,4.0000,152035309,622192483.0200,3,13.759300,1,0.000000,-11.996208,1.806817,1.142387,-90.088735,0
2025-03-18,sz.300094,4.0100,4.0600,3.8800,3.9100,4.0000,104704737,413111309.0700,3,9.475900,1,-2.250000,-11.726293,1.766164,1.116683,-88.061739,0
2025-03-19,sz.300094,3.8900,3.9100,3.7900,3.8100,3.9100,68338921,261782691.8700,3,6.184700,1,-2.557500,-11.426388,1.720993,1.088123,-85.809520,0
2025-03-20,sz.300094,3.8200,4.1000,3.8100,4.0100,3.8100,130501636,516154599.9900,3,11.810500,1,5.249300,-12.026198,1.811334,1.145243,-90.313957,0
2025-03-21,sz.300094,3.9500,4.3300,3.9400,4.0900,4.0100,176120954,726535866.9200,3,15.939100,1,1.995000,-12.266122,1.847471,1.168090,-92.115732,0
2025-03-24,sz.300094,4.0900,4.0900,3.8100,3.8800,4.0900,104064830,408034634.1000,3,9.418000,1,-5.134500,-11.636321,1.752613,1.108115,-87.386073,0
2025-03-25,sz.300094,3.8800,3.9100,3.7600,3.8200,3.8800,58451817,224111239.7700,3,5.289900,1,-1.546400,-11.456378,1.725510,1.090979,-86.034742,0
2025-03-26,sz.300094,3.8100,3.9000,3.7600,3.8500,3.8200,58766426,226105819.6200,3,5.318400,1,0.785300,-11.546350,1.739062,1.099547,-86.710407,0
2025-03-27,sz.300094,3.8300,3.8400,3.7000,3.7000,3.8500,58582478,219018447.9400,3,5.301800,1,-3.896100,-11.096492,1.671306,1.056708,-83.332080,0
2025-03-28,sz.300094,3.7000,3.7200,3.5800,3.5800,3.7000,48032180,174157548.6000,3,4.347000,1,-3.243200,-10.736606,1.617101,1.022436,-80.629418,0
2025-03-31,sz.300094,3.5400,3.5700,3.4600,3.5100,3.5800,38688291,135619762.8600,3,3.501300,1,-1.955300,-10.526672,1.585482,1.002444,-79.052865,0
2025-04-01,sz.300094,3.5400,3.5700,3.5200,3.5600,3.5100,27897720,98946354.0000,3,2.524800,1,1.424500,-10.676625,1.608067,1.016724,-80.178974,0
2025-04-02,sz.300094,3.5400,3.5600,3.4900,3.4900,3.5600,23511110,82824879.2000,3,2.127800,1,-1.966300,-10.466691,1.576448,0.996732,-78.602421,0
2025-04-03,sz.300094,3.4400,3.6000,3.4400,3.5600,3.4900,38147200,135471751.1000,3,3.452400,1,2.005700,-10.676625,1.608067,1.016724,-80.178974,0
2025-04-07,sz.300094,3.4000,3.4700,2.9600,3.0600,3.5600,85154682,276065185.0600,3,7.706600,1,-14.044900,-9.177099,1.382215,0.873926,-68.917882,0
2025-04-08,sz.300094,3.1700,3.6700,3.1700,3.6600,3.0600,144759827,498438939.6000,3,13.100900,1,19.607800,-10.976530,1.653238,1.045284,-82.431193,0
2025-04-09,sz.300094,3.5600,3.6400,3.3700,3.6000,3.6600,122963480,433137602.2000,3,11.128300,1,-1.639300,-10.796587,1.626136,1.028148,-81.079862,0
2025-04-10,sz.300094,3.5500,3.9700,3.5400,3.7500,3.6000,141337060,529382144.1000,3,12.791100,1,4.166700,-11.246445,1.693891,1.070987,-84.458189,0
2025-04-11,sz.300094,3.6500,3.7200,3.5800,3.5800,3.7500,88962400,322638625.0000,3,8.051200,1,-4.533300,-10.736606,1.617101,1.022436,-80.629418,0
2025-04-14,sz.300094,3.6200,3.8100,3.5800,3.7000,3.5800,92289700,340329833.0000,3,8.352300,1,3.352000,-11.096492,1.671306,1.056708,-83.332080,0
2025-04-15,sz.300094,3.6600,3.7300,3.6000,3.6300,3.7000,60563272,220569424.1600,3,5.481000,1,-1.891900,-10.886558,1.639687,1.036716,-81.755527,0
2025-04-16,sz.300094,3.6000,3.7500,3.5700,3.7100,3.6300,82292353,301115172.6000,3,7.447500,1,2.203900,-11.126483,1.675823,1.059564,-83.557302,0
