date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-02-26,sz.300173,6.8600,7.2100,6.8100,6.9800,6.7500,70050035,492348863.6500,3,9.534200,1,3.407400,134.107937,5.641948,5.385670,-33.195579,0
2025-02-27,sz.300173,7.0800,7.5600,7.0500,7.4600,6.9800,155660241,1147110249.3700,3,21.186200,1,6.876800,143.330259,6.029933,5.756031,-35.478370,0
2025-02-28,sz.300173,7.4000,7.5900,6.8000,6.9300,7.4600,113197824,816640913.6100,3,15.406800,1,-7.104600,133.147278,5.601533,5.347091,-32.957789,0
2025-03-03,sz.300173,6.8800,7.8700,6.8800,7.7800,6.9300,190088805,1441811546.4100,3,25.872100,1,12.265500,149.478474,6.288589,6.002939,-37.000230,0
2025-03-04,sz.300173,7.4000,7.5400,7.0900,7.4800,7.7800,137041964,1000890491.1800,3,18.652100,1,-3.856000,143.714522,6.046099,5.771463,-35.573486,0
2025-03-05,sz.300173,7.3200,7.3900,7.1600,7.2700,7.4800,73573117,532275137.0000,3,10.013700,1,-2.807500,139.679756,5.876355,5.609430,-34.574765,0
2025-03-06,sz.300173,7.3200,7.6500,7.2500,7.5000,7.2700,100858506,746975797.6200,3,13.727400,1,3.163700,144.098786,6.062265,5.786895,-35.668602,0
2025-03-07,sz.300173,7.3800,7.3800,7.1100,7.2000,7.5000,76659200,555226895.8300,3,10.433700,1,-4.000000,138.334834,5.819774,5.555419,-34.241858,0
2025-03-10,sz.300173,7.1400,7.2300,7.0000,7.0600,7.2000,48898010,346702150.4000,3,6.655300,1,-1.944400,135.644990,5.706612,5.447397,-33.576044,0
2025-03-11,sz.300173,6.9000,7.0100,6.8000,6.9400,7.0600,49677206,342537938.4600,3,6.761300,1,-1.699700,133.339410,5.609616,5.354807,-33.005347,0
2025-03-12,sz.300173,6.9400,7.2400,6.9300,7.1100,6.9400,53920257,384046500.1000,3,7.338800,1,2.449600,136.605649,5.747027,5.485976,-33.813835,0
2025-03-13,sz.300173,7.0500,7.0800,6.7500,6.8300,7.1100,47982553,328973574.9800,3,6.530700,1,-3.938100,131.225961,5.520703,5.269932,-32.482207,0
2025-03-14,sz.300173,6.7700,6.8600,6.4800,6.8300,6.8300,50952354,341226425.4800,3,6.934900,1,0.000000,131.225961,5.520703,5.269932,-32.482207,0
2025-03-17,sz.300173,6.8600,6.9400,6.7900,6.7900,6.8300,33992171,233396579.4800,3,4.626500,1,-0.585700,130.457434,5.488370,5.239069,-32.291975,0
2025-03-18,sz.300173,6.7400,7.2300,6.7400,6.9600,6.7900,51508800,361107138.0000,3,7.010600,1,2.503700,133.723673,5.625782,5.370238,-33.100463,0
2025-03-19,sz.300173,6.9000,6.9200,6.7700,6.7900,6.9600,35237751,240294013.1000,3,4.796000,1,-2.442500,130.457434,5.488370,5.239069,-32.291975,0
2025-03-20,sz.300173,6.8100,6.8400,6.6300,6.6600,6.7900,32427578,217206966.3100,3,4.413600,1,-1.914600,127.959722,5.383291,5.138763,-31.673719,0
2025-03-21,sz.300173,6.6700,6.6800,6.4200,6.4700,6.6600,31771941,206975256.4100,3,4.324300,1,-2.852900,124.309219,5.229714,4.992161,-30.770114,0
2025-03-24,sz.300173,6.4500,6.4500,5.9900,6.1600,6.4700,47837939,295371246.2400,3,6.511000,1,-4.791300,118.353136,4.979140,4.752970,-29.295812,0
2025-03-25,sz.300173,6.1800,6.1900,5.9700,6.0000,6.1600,29308200,177484416.0000,3,3.989000,1,-2.597400,115.279029,4.849812,4.629516,-28.534882,0
2025-03-26,sz.300173,5.9700,6.1500,5.9700,6.0600,6.0000,22707017,138140523.5300,3,3.090500,1,1.000000,116.431819,4.898310,4.675811,-28.820231,0
2025-03-27,sz.300173,6.0500,6.1200,5.9300,5.9900,6.0600,22034100,132728849.0000,3,2.999000,1,-1.155100,115.086897,4.841729,4.621800,-28.487324,0
2025-03-28,sz.300173,5.9800,6.0600,5.9300,5.9300,5.9900,20608900,123155026.0000,3,2.805000,1,-1.001700,113.934107,4.793231,4.575505,-28.201975,0
2025-03-31,sz.300173,5.9100,5.9100,5.7000,5.8300,5.9300,24987612,144600236.8800,3,3.400900,1,-1.686300,112.012789,4.712401,4.498346,-27.726394,0
2025-04-01,sz.300173,5.8900,6.0200,5.8600,5.9200,5.8300,21278211,126418926.8900,3,2.896100,1,1.543700,113.741975,4.785148,4.567789,-28.154417,0
2025-04-02,sz.300173,5.9200,6.0300,5.8700,5.9000,5.9200,18773100,111753726.8800,3,2.555100,1,-0.337800,113.357711,4.768982,4.552357,-28.059301,0
2025-04-03,sz.300173,5.8000,5.9400,5.7600,5.8400,5.9000,16279511,95025473.3500,3,2.215700,1,-1.016900,112.204921,4.720484,4.506062,-27.773952,0
2025-04-07,sz.300173,5.4000,5.4800,4.6700,4.6900,5.8400,50716118,252606890.2800,3,6.902700,1,-19.691800,90.109774,3.790936,3.618738,-22.304766,0
2025-04-08,sz.300173,4.8000,5.1100,4.8000,4.9700,4.6900,43012700,213540300.0000,3,5.854300,1,5.970100,95.489462,4.017261,3.834782,-23.636394,0
2025-04-09,sz.300173,4.9000,5.1600,4.4700,5.1100,4.9700,45377400,221167425.0000,3,6.176100,1,2.816900,98.179306,4.130423,3.942804,-24.302208,0
2025-04-10,sz.300173,5.2700,5.3900,5.2200,5.2300,5.1100,37234500,197061392.0000,3,5.067800,1,2.348300,100.484887,4.227419,4.035395,-24.872905,0
2025-04-11,sz.300173,5.1500,5.2900,5.1200,5.2700,5.2300,25039900,131309967.0000,3,3.408100,1,0.764800,101.253413,4.259751,4.066258,-25.063138,0
2025-04-14,sz.300173,5.3600,5.4700,5.3300,5.3700,5.2700,25996000,140310778.0000,3,3.538200,1,1.897500,103.174731,4.340582,4.143417,-25.538719,0
2025-04-15,sz.300173,5.3700,5.6400,5.3500,5.4500,5.3700,45214050,248415989.0000,3,6.153900,1,1.489800,104.711784,4.405246,4.205144,-25.919184,0
2025-04-16,sz.300173,5.4000,5.4500,5.1700,5.2800,5.4500,29557450,156496262.5000,3,4.022900,1,-3.119300,101.445545,4.267834,4.073974,-25.110696,0
2025-04-17,sz.300173,5.2300,5.3400,5.1800,5.2600,5.2800,18875100,99964076.0000,3,2.569000,1,-0.378800,101.061282,4.251668,4.058542,-25.015580,0
2025-04-18,sz.300173,5.2400,5.3200,5.1900,5.2900,5.2600,18875200,99235623.0000,3,2.569000,1,0.570300,101.637677,4.275917,4.081690,-25.158254,0
2025-04-21,sz.300173,5.3000,5.4400,5.2500,5.4400,5.2900,20930600,112802942.0000,3,2.848800,1,2.835500,104.519653,4.397163,4.197428,-25.871626,0
2025-04-22,sz.300173,5.4000,5.4500,5.3700,5.3900,5.4400,15163300,81888050.0000,3,2.063800,1,-0.919100,103.558994,4.356748,4.158848,-25.633836,0
2025-04-23,sz.300173,5.4500,5.5100,5.4200,5.4800,5.3900,23805900,130076803.0000,3,3.240100,1,1.669800,105.288179,4.429495,4.228291,-26.061859,0
2025-04-24,sz.300173,5.4900,5.5300,5.3500,5.4000,5.4800,18302500,99080944.0000,3,2.491100,1,-1.459900,103.751126,4.364831,4.166564,-25.681394,0
2025-04-25,sz.300173,5.4000,5.4600,5.3600,5.3800,5.4000,15144600,81877920.0000,3,2.061300,1,-0.370400,103.366862,4.348665,4.151133,-25.586277,0
2025-04-28,sz.300173,5.3900,5.4400,5.2500,5.2800,5.3800,17175400,91232420.0000,3,2.337700,1,-1.858700,87.686470,3.909891,2.981762,274.663817,0
2025-04-29,sz.300173,5.2700,5.3800,5.2300,5.3300,5.2800,14421500,77022402.0000,3,1.962800,1,0.947000,88.516834,3.946916,3.009998,277.264800,0
2025-04-30,sz.300173,5.3800,5.5000,5.3200,5.4600,5.3300,21722000,118633117.0000,3,2.956500,1,2.439000,90.675781,4.043182,3.083413,284.027356,0
2025-05-06,sz.300173,5.5200,5.6500,5.4900,5.6400,5.4600,24451782,136753799.8400,3,3.328000,1,3.296700,93.665093,4.176474,3.185064,293.390895,0
2025-05-07,sz.300173,5.7200,5.7500,5.5800,5.6600,5.6400,26485603,149618353.8900,3,3.604800,1,0.354600,93.997238,4.191284,3.196359,294.431288,0
2025-05-08,sz.300173,5.6800,5.7800,5.6200,5.7500,5.6600,24530800,140654116.0000,3,3.338800,1,1.590100,95.491894,4.257930,3.247184,299.113058,0
2025-05-09,sz.300173,5.7400,5.7800,5.5600,5.6300,5.7500,22395600,126008676.0000,3,3.048200,1,-2.087000,93.499020,4.169069,3.179417,292.870698,0
2025-05-12,sz.300173,5.7200,5.8300,5.6900,5.7500,5.6300,23407700,134342384.0000,3,3.185900,1,2.131400,95.491894,4.257930,3.247184,299.113058,0
2025-05-13,sz.300173,5.8200,5.8500,5.6700,5.6800,5.7500,22020300,126586209.0000,3,2.997100,1,-1.217400,94.329384,4.206094,3.207653,295.471682,0
2025-05-14,sz.300173,5.6500,5.7200,5.5900,5.6500,5.6800,20497400,115630713.0000,3,2.789800,1,-0.528200,93.831166,4.183879,3.190711,293.911092,0
2025-05-15,sz.300173,5.6600,5.6600,5.4900,5.5100,5.6500,17567000,97315403.0000,3,2.391000,1,-2.477900,91.506146,4.080208,3.111649,286.628339,0
2025-05-16,sz.300173,5.5000,5.6200,5.5000,5.5400,5.5100,14283600,79532686.0000,3,1.944100,1,0.544500,92.004364,4.102423,3.128591,288.188929,0
2025-05-19,sz.300173,5.5900,5.6000,5.4500,5.5700,5.5400,13095200,72459025.0000,3,1.782300,1,0.541500,92.502583,4.124638,3.145533,289.749519,0
