date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-02-26,sz.300194,4.3300,4.3800,4.3300,4.3700,4.3400,20621238,89815007.3000,3,2.130600,1,0.691200,18.460247,1.181656,1.954492,533.210555,0
2025-02-27,sz.300194,4.3700,4.4000,4.3000,4.3500,4.3700,23045200,100166584.0000,3,2.381000,1,-0.457700,18.375760,1.176248,1.945547,530.770232,0
2025-02-28,sz.300194,4.3300,4.3600,4.2100,4.2200,4.3500,26608166,113744026.5200,3,2.749200,1,-2.988500,17.826600,1.141095,1.887404,514.908133,0
2025-03-03,sz.300194,4.2200,4.3000,4.2100,4.2400,4.2200,19449900,82811906.0000,3,2.009600,1,0.473900,17.911086,1.146503,1.896349,517.348456,0
2025-03-04,sz.300194,4.2200,4.2700,4.1800,4.2600,4.2400,17105479,72658877.5900,3,1.767300,1,0.471700,17.995572,1.151911,1.905294,519.788779,0
2025-03-05,sz.300194,4.2600,4.2800,4.2000,4.2400,4.2600,14954146,63153279.1200,3,1.545100,1,-0.469500,17.911086,1.146503,1.896349,517.348456,0
2025-03-06,sz.300194,4.2500,4.2900,4.2300,4.2900,4.2400,22256500,94942609.0000,3,2.299500,1,1.179200,18.122302,1.160024,1.918712,523.449264,0
2025-03-07,sz.300194,4.2700,4.3000,4.2400,4.2500,4.2900,21910550,93468092.0000,3,2.263800,1,-0.932400,17.953329,1.149207,1.900822,518.568618,0
2025-03-10,sz.300194,4.2600,4.3100,4.2500,4.3000,4.2500,20686596,88667210.5000,3,2.137300,1,1.176500,18.164545,1.162728,1.923184,524.669425,0
2025-03-11,sz.300194,4.2700,4.3200,4.2300,4.3100,4.3000,19557100,83576482.0000,3,2.020600,1,0.232600,18.206788,1.165432,1.927657,525.889587,0
2025-03-12,sz.300194,4.3100,4.3500,4.3000,4.3300,4.3100,23243525,100566107.5000,3,2.401500,1,0.464000,18.291274,1.170840,1.936602,528.329909,0
2025-03-13,sz.300194,4.3200,4.3400,4.2400,4.2800,4.3300,18203700,77906461.0000,3,1.880800,1,-1.154700,18.080058,1.157319,1.914239,522.229102,0
2025-03-14,sz.300194,4.3000,4.4100,4.2800,4.4100,4.2800,35124185,152957867.6000,3,3.629000,1,3.037400,18.629219,1.192472,1.972382,538.091201,0
2025-03-17,sz.300194,4.4100,4.5100,4.3800,4.4900,4.4100,41969688,186648399.3600,3,4.336300,1,1.814100,18.967164,1.214104,2.008162,547.852493,0
2025-03-18,sz.300194,4.4900,4.5500,4.4500,4.5100,4.4900,36523470,164128177.3200,3,3.773600,1,0.445400,19.051650,1.219512,2.017107,550.292816,0
2025-03-19,sz.300194,4.4900,4.5200,4.4400,4.4600,4.5100,23643800,105593687.3700,3,2.442900,1,-1.108600,18.840435,1.205992,1.994745,544.192008,0
2025-03-20,sz.300194,4.4500,4.4700,4.4400,4.4500,4.4600,20837963,92815603.4800,3,2.153000,1,-0.224200,18.798192,1.203288,1.990272,542.971847,0
2025-03-21,sz.300194,4.4600,4.5100,4.3900,4.4000,4.4500,28043551,124636762.9100,3,2.897500,1,-1.123600,18.586976,1.189768,1.967910,536.871040,0
2025-03-24,sz.300194,4.4100,4.4300,4.2500,4.3200,4.4000,29970751,129889785.3100,3,3.096600,1,-1.818200,18.249031,1.168136,1.932129,527.109748,0
2025-03-25,sz.300194,4.3200,4.5200,4.3000,4.4900,4.3200,54803552,243235913.6400,3,5.662300,1,3.935200,18.967164,1.214104,2.008162,547.852493,0
2025-03-26,sz.300194,4.4600,4.5600,4.4400,4.5300,4.4900,45471162,205327301.1000,3,4.698100,1,0.890900,19.136137,1.224920,2.026052,552.733139,0
2025-03-27,sz.300194,4.5100,4.5800,4.4400,4.5600,4.5300,41848380,189152010.3900,3,4.323800,1,0.662300,19.262866,1.233032,2.039470,556.393623,0
2025-03-28,sz.300194,4.5400,4.6300,4.4900,4.4900,4.5600,43865799,199549054.1500,3,4.532200,1,-1.535100,18.967164,1.214104,2.008162,547.852493,0
2025-03-31,sz.300194,4.4400,4.4800,4.3500,4.4000,4.4900,33332629,147131452.6900,3,3.443900,1,-2.004500,18.586976,1.189768,1.967910,536.871040,0
2025-04-01,sz.300194,4.4200,4.6800,4.4100,4.6000,4.4000,75771595,348091659.0800,3,7.828700,1,4.545500,19.431839,1.243848,2.057360,561.274269,0
2025-04-02,sz.300194,4.6000,4.6100,4.5400,4.5700,4.6000,33464602,153064484.1600,3,3.457600,1,-0.652200,19.305109,1.235736,2.043943,557.613784,0
2025-04-03,sz.300194,4.5400,4.7000,4.5300,4.6400,4.5700,54257425,251405404.9100,3,5.605900,1,1.531700,19.600811,1.254664,2.075250,566.154915,0
