date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-02-26,sz.300257,9.9400,10.2800,9.8000,10.1400,9.9400,15643458,157957299.2200,3,1.638800,1,2.012100,32.887067,1.591716,2.426648,16.071169,0
2025-02-27,sz.300257,10.1000,10.1600,9.7900,9.9300,10.1400,11574100,115325476.1200,3,1.212500,1,-2.071000,32.205973,1.558751,2.376392,15.738334,0
2025-02-28,sz.300257,9.8800,9.9300,9.5300,9.5500,9.9300,10506100,101729176.0000,3,1.100600,1,-3.826800,30.973519,1.499101,2.285453,15.136061,0
2025-03-03,sz.300257,9.6200,9.8900,9.5500,9.6400,9.5500,12535960,122156373.8600,3,1.313300,1,0.942400,31.265416,1.513229,2.306991,15.278705,0
2025-03-04,sz.300257,9.6300,9.8300,9.5600,9.7600,9.6400,7537400,73409700.0000,3,0.789600,1,1.244800,31.654612,1.532066,2.335709,15.468896,0
2025-03-05,sz.300257,9.8500,9.9400,9.7000,9.8100,9.7600,7603000,74541888.0000,3,0.796500,1,0.512300,31.816777,1.539914,2.347675,15.548143,0
2025-03-06,sz.300257,9.8500,10.1400,9.8300,10.0200,9.8100,10435000,104291981.0000,3,1.093200,1,2.140700,32.497870,1.572879,2.397931,15.880977,0
2025-03-07,sz.300257,9.9900,10.1200,9.8700,9.9400,10.0200,9917023,98854611.6900,3,1.038900,1,-0.798400,32.238406,1.560321,2.378786,15.754183,0
2025-03-10,sz.300257,9.9100,10.0300,9.8000,9.8700,9.9400,7541009,74657637.4200,3,0.790000,1,-0.704200,32.011375,1.549333,2.362034,15.643238,0
2025-03-11,sz.300257,9.7800,9.9500,9.7400,9.9300,9.8700,7772348,76463889.1600,3,0.814200,1,0.607900,32.205973,1.558751,2.376392,15.738334,0
2025-03-12,sz.300257,9.9500,10.0400,9.8800,9.9400,9.9300,7304600,72748558.0000,3,0.765200,1,0.100700,32.238406,1.560321,2.378786,15.754183,0
2025-03-13,sz.300257,9.9500,9.9700,9.6000,9.6800,9.9400,9959423,96899575.8900,3,1.043400,1,-2.615700,31.395148,1.519508,2.316564,15.342102,0
2025-03-14,sz.300257,9.7300,9.9300,9.6300,9.9100,9.6800,10173662,99738820.3400,3,1.065800,1,2.376000,32.141107,1.555612,2.371606,15.706635,0
2025-03-17,sz.300257,9.9400,10.0400,9.8500,9.9500,9.9100,8507500,84700000.0000,3,0.891300,1,0.403600,32.270839,1.561891,2.381179,15.770033,0
2025-03-18,sz.300257,9.9500,10.0800,9.9400,10.0500,9.9500,7105200,71206835.0000,3,0.744300,1,1.005000,32.595169,1.577588,2.405110,15.928525,0
2025-03-19,sz.300257,10.0600,10.2700,9.9100,10.0200,10.0500,11221635,112953176.3000,3,1.175600,1,-0.298500,32.497870,1.572879,2.397931,15.880977,0
2025-03-20,sz.300257,10.0000,10.2300,9.9400,10.1300,10.0200,11464700,115839503.0000,3,1.201000,1,1.097800,32.854634,1.590146,2.424255,16.055320,0
2025-03-21,sz.300257,10.0300,10.1700,9.8200,9.8500,10.1300,9209800,91903489.0000,3,0.964800,1,-2.764100,31.946509,1.546193,2.357247,15.611540,0
2025-03-24,sz.300257,9.8600,9.8900,9.4500,9.6200,9.8500,10362060,99972216.8000,3,1.085500,1,-2.335000,31.200550,1.510089,2.302205,15.247006,0
2025-03-25,sz.300257,9.6500,9.7900,9.5800,9.6400,9.6200,7254100,70249967.0000,3,0.759900,1,0.207900,31.265416,1.513229,2.306991,15.278705,0
2025-03-26,sz.300257,9.5600,9.8700,9.5600,9.7600,9.6400,6470325,63179393.0000,3,0.677800,1,1.244800,31.654612,1.532066,2.335709,15.468896,0
2025-03-27,sz.300257,9.7800,9.7800,9.5300,9.6300,9.7600,5903568,56943068.2400,3,0.618500,1,-1.332000,31.232983,1.511659,2.304598,15.262856,0
2025-03-28,sz.300257,9.6300,9.7100,9.3400,9.3500,9.6300,6342099,60023392.6500,3,0.664400,1,-2.907600,30.324859,1.467706,2.237590,14.819076,0
2025-03-31,sz.300257,9.3000,9.4400,9.1500,9.3000,9.3500,7488000,69483577.0000,3,0.784400,1,-0.534800,30.162694,1.459858,2.225624,14.739829,0
2025-04-01,sz.300257,9.3200,9.4000,9.2500,9.2900,9.3000,6801200,63329920.0000,3,0.712500,1,-0.107500,30.130261,1.458288,2.223231,14.723980,0
2025-04-02,sz.300257,9.2600,9.4500,9.2300,9.2900,9.2900,4938600,46160266.0000,3,0.517400,1,0.000000,30.130261,1.458288,2.223231,14.723980,0
2025-04-03,sz.300257,9.2400,9.3400,9.1500,9.2500,9.2900,5713700,52764184.0000,3,0.598600,1,-0.430600,30.000529,1.452009,2.213659,14.660583,0
2025-04-07,sz.300257,8.7800,8.9000,7.4600,7.6800,9.2500,17398429,141132730.2700,3,1.822700,1,-16.973000,24.908547,1.205560,1.837935,12.172246,0
2025-04-08,sz.300257,7.8700,8.2500,7.8000,7.9600,7.6800,15352784,122422569.0200,3,1.608400,1,3.645800,25.816672,1.249513,1.904943,12.616026,0
2025-04-09,sz.300257,7.8900,8.1100,7.5100,8.0300,7.9600,14456647,114100226.9600,3,1.514500,1,0.879400,26.043703,1.260501,1.921695,12.726971,0
2025-04-10,sz.300257,8.2200,8.5000,8.1800,8.2900,8.0300,11144900,92877942.0000,3,1.167500,1,3.237900,26.886961,1.301314,1.983917,13.139052,0
2025-04-11,sz.300257,8.2100,8.4000,8.1300,8.3000,8.2900,6360226,52776502.2800,3,0.666300,1,0.120600,26.919394,1.302884,1.986310,13.154901,0
2025-04-14,sz.300257,8.3500,8.5600,8.3400,8.4300,8.3000,8746100,73819556.0000,3,0.916200,1,1.566300,27.341023,1.323290,2.017421,13.360942,0
2025-04-15,sz.300257,8.4300,8.5400,8.3800,8.5300,8.4300,6340217,53653660.9300,3,0.664200,1,1.186200,27.665353,1.338988,2.041352,13.519435,0
2025-04-16,sz.300257,8.4800,8.5000,8.1600,8.2400,8.5300,9762686,80883192.2400,3,1.022700,1,-3.399800,26.724796,1.293465,1.971951,13.059806,0
2025-04-17,sz.300257,8.2400,8.3700,8.1900,8.2300,8.2400,6359414,52616231.2200,3,0.666200,1,-0.121400,26.692363,1.291896,1.969558,13.043957,0
2025-04-18,sz.300257,8.2300,8.2600,8.0500,8.2100,8.2300,9552400,77817866.0000,3,1.000700,1,-0.243000,26.627497,1.288756,1.964772,13.012258,0
2025-04-21,sz.300257,8.1900,8.3600,8.1000,8.3100,8.2100,6885000,56919406.0000,3,0.721300,1,1.218000,26.951827,1.304453,1.988703,13.170751,0
2025-04-22,sz.300257,8.5800,8.5800,8.2600,8.3000,8.3100,11730900,98352200.0000,3,1.228900,1,-0.120300,25.738610,1.264337,1.947398,16.351789,0
2025-04-23,sz.300257,8.3700,8.6800,8.3600,8.5800,8.3000,13521800,115345185.0000,3,1.416600,1,3.373500,26.606901,1.306990,2.013093,16.903415,0
2025-04-24,sz.300257,8.5700,8.6300,8.4300,8.5000,8.5800,7661000,65269006.0000,3,0.802600,1,-0.932400,26.358818,1.294803,1.994323,16.745808,0
2025-04-25,sz.300257,8.5000,8.7300,8.5000,8.5600,8.5000,7621000,65669329.0000,3,0.798400,1,0.705900,26.544880,1.303943,2.008401,16.864013,0
2025-04-28,sz.300257,8.5500,8.6100,8.4100,8.4200,8.5600,7042500,59691044.0000,3,0.737800,1,-1.635500,26.110735,1.282617,1.975553,16.588200,0
2025-04-29,sz.300257,8.4400,8.7000,8.3800,8.6300,8.4200,8902000,76397919.0000,3,0.932600,1,2.494100,26.230317,1.305360,1.995454,19.821130,0
2025-04-30,sz.300257,8.6300,8.8200,8.5900,8.7200,8.6300,8186500,71511721.0000,3,0.857600,1,1.042900,26.503866,1.318973,2.016264,20.027839,0
2025-05-06,sz.300257,8.8000,8.9500,8.7300,8.9100,8.7200,7333988,65134841.3200,3,0.768300,1,2.178900,27.081359,1.347713,2.060196,20.464226,0
2025-05-07,sz.300257,8.9800,9.0500,8.8900,8.9200,8.9100,10115986,90678893.0900,3,1.059800,1,0.112200,27.111753,1.349225,2.062509,20.487193,0
2025-05-08,sz.300257,8.9900,10.3000,8.9100,10.0100,8.9200,52703472,519740781.8700,3,5.521300,1,12.219700,30.424736,1.514097,2.314542,22.990673,0
2025-05-09,sz.300257,10.0000,10.1500,9.6000,9.6500,10.0100,46793370,462293888.7900,3,4.902100,1,-3.596400,29.330540,1.459644,2.231301,22.163836,0
2025-05-12,sz.300257,9.6000,9.7200,9.4500,9.5100,9.6500,25864222,246479115.3100,3,2.709600,1,-1.450800,28.905019,1.438468,2.198930,21.842288,0
2025-05-13,sz.300257,9.6000,9.8200,9.5300,9.7700,9.5100,30221828,292770587.3400,3,3.166100,1,2.734000,29.695272,1.477795,2.259048,22.439448,0
2025-05-14,sz.300257,9.7000,10.4000,9.6500,10.1800,9.7700,51381581,516745046.2100,3,5.382800,1,4.196500,30.941440,1.539811,2.353849,23.381124,0
2025-05-15,sz.300257,10.1000,10.1700,9.7900,9.8100,10.1800,22600550,223741293.7600,3,2.367600,1,-3.634600,29.816850,1.483845,2.268297,22.531319,0
