date,time,code,open,high,low,close,volume,amount,adjustflag
2025-02-26,20250226093500000,sz.002591,5.7000,5.9300,5.7000,5.7700,20858200,122396160.0000,3
2025-02-26,20250226094000000,sz.002591,5.7700,5.7900,5.6400,5.7300,3547300,20267520.0000,3
2025-02-26,20250226094500000,sz.002591,5.7300,5.7300,5.6700,5.6900,1515300,8636384.0000,3
2025-02-26,20250226095000000,sz.002591,5.6900,5.6900,5.6000,5.6300,1596100,8992928.0000,3
2025-02-26,20250226095500000,sz.002591,5.6300,5.6400,5.5900,5.6200,1280700,7178912.0000,3
2025-02-26,20250226100000000,sz.002591,5.6000,5.7400,5.5900,5.7300,1382200,7819568.0000,3
2025-02-26,20250226100500000,sz.002591,5.7300,5.7300,5.6400,5.6400,646300,3669536.0000,3
2025-02-26,20250226101000000,sz.002591,5.6400,5.6500,5.6200,5.6400,326200,1837856.0000,3
2025-02-26,20250226101500000,sz.002591,5.6400,5.6800,5.6300,5.6500,306800,1736192.0000,3
2025-02-26,20250226102000000,sz.002591,5.6500,5.6700,5.6400,5.6500,286200,1618736.0000,3
2025-02-26,20250226102500000,sz.002591,5.6500,5.6700,5.6500,5.6600,275600,1559248.0000,3
2025-02-26,20250226103000000,sz.002591,5.6600,5.6700,5.6500,5.6600,369800,2092368.0000,3
2025-02-26,20250226103500000,sz.002591,5.6500,5.6600,5.6000,5.6100,678100,3810256.0000,3
2025-02-26,20250226104000000,sz.002591,5.6100,5.6100,5.5900,5.6100,399700,2238800.0000,3
2025-02-26,20250226104500000,sz.002591,5.6100,5.6100,5.5900,5.6000,150200,840928.0000,3
2025-02-26,20250226105000000,sz.002591,5.6000,5.6200,5.5900,5.6200,508100,2848352.0000,3
2025-02-26,20250226105500000,sz.002591,5.6200,5.6300,5.6100,5.6200,249900,1403344.0000,3
2025-02-26,20250226110000000,sz.002591,5.6200,5.6200,5.6000,5.6000,170800,957760.0000,3
2025-02-26,20250226110500000,sz.002591,5.6000,5.6200,5.6000,5.6200,227000,1273408.0000,3
2025-02-26,20250226111000000,sz.002591,5.6200,5.6200,5.6000,5.6100,297700,1669632.0000,3
2025-02-26,20250226111500000,sz.002591,5.6100,5.6200,5.6000,5.6100,150800,845664.0000,3
2025-02-26,20250226112000000,sz.002591,5.6000,5.6200,5.5900,5.6200,317100,1776560.0000,3
2025-02-26,20250226112500000,sz.002591,5.6100,5.6300,5.6000,5.6200,167100,937744.0000,3
2025-02-26,20250226113000000,sz.002591,5.6100,5.6300,5.6100,5.6300,197400,1110000.0000,3
2025-02-26,20250226130500000,sz.002591,5.6400,5.6400,5.6000,5.6100,336500,1890656.0000,3
2025-02-26,20250226131000000,sz.002591,5.6000,5.6000,5.5800,5.5900,324900,1815648.0000,3
2025-02-26,20250226131500000,sz.002591,5.5900,5.5900,5.5800,5.5800,320800,1791360.0000,3
2025-02-26,20250226132000000,sz.002591,5.5800,5.5800,5.5600,5.5700,243200,1355232.0000,3
2025-02-26,20250226132500000,sz.002591,5.5700,5.5700,5.5500,5.5600,439700,2442688.0000,3
2025-02-26,20250226133000000,sz.002591,5.5600,5.5700,5.5400,5.5600,369000,2048976.0000,3
2025-02-26,20250226133500000,sz.002591,5.5700,5.5700,5.5200,5.5300,490800,2722880.0000,3
2025-02-26,20250226134000000,sz.002591,5.5300,5.5400,5.5200,5.5300,266400,1472624.0000,3
2025-02-26,20250226134500000,sz.002591,5.5300,5.5500,5.5200,5.5400,310600,1720496.0000,3
2025-02-26,20250226135000000,sz.002591,5.5400,5.5400,5.5000,5.5000,379000,2091424.0000,3
2025-02-26,20250226135500000,sz.002591,5.5100,5.5100,5.4900,5.5000,393400,2162736.0000,3
2025-02-26,20250226140000000,sz.002591,5.5000,5.5100,5.4900,5.5000,427500,2350208.0000,3
2025-02-26,20250226140500000,sz.002591,5.5100,5.5100,5.4900,5.5000,209700,1153216.0000,3
2025-02-26,20250226141000000,sz.002591,5.4900,5.5000,5.4800,5.4800,229600,1259328.0000,3
2025-02-26,20250226141500000,sz.002591,5.4800,5.4900,5.4700,5.4900,290300,1591264.0000,3
2025-02-26,20250226142000000,sz.002591,5.4900,5.4900,5.4800,5.4900,198800,1090912.0000,3
2025-02-26,20250226142500000,sz.002591,5.4900,5.4900,5.4800,5.4900,130900,718320.0000,3
2025-02-26,20250226143000000,sz.002591,5.4800,5.4900,5.4700,5.4700,324300,1776832.0000,3
2025-02-26,20250226143500000,sz.002591,5.4600,5.4800,5.4600,5.4700,349100,1910416.0000,3
2025-02-26,20250226144000000,sz.002591,5.4700,5.5100,5.4700,5.5100,367400,2017888.0000,3
2025-02-26,20250226144500000,sz.002591,5.5000,5.5100,5.5000,5.5000,225600,1241936.0000,3
2025-02-26,20250226145000000,sz.002591,5.5100,5.5400,5.5000,5.5400,332800,1835184.0000,3
2025-02-26,20250226145500000,sz.002591,5.5400,5.5500,5.5100,5.5100,494400,2731984.0000,3
2025-02-26,20250226150000000,sz.002591,5.5100,5.5200,5.5100,5.5100,524700,2892768.0000,3
2025-02-27,20250227093500000,sz.002591,5.4000,5.4900,5.4000,5.4700,6097000,33149744.0000,3
2025-02-27,20250227094000000,sz.002591,5.4700,5.4700,5.4300,5.4500,2105300,11474120.0000,3
2025-02-27,20250227094500000,sz.002591,5.4500,5.4900,5.4300,5.4300,1784000,9736216.0000,3
2025-02-27,20250227095000000,sz.002591,5.4300,5.4400,5.4200,5.4200,1153400,6260960.0000,3
2025-02-27,20250227095500000,sz.002591,5.4200,5.4300,5.3900,5.4100,1649400,8916472.0000,3
2025-02-27,20250227100000000,sz.002591,5.4100,5.4400,5.4000,5.4200,1071800,5807872.0000,3
2025-02-27,20250227100500000,sz.002591,5.4200,5.4400,5.4000,5.4100,422800,2289248.0000,3
2025-02-27,20250227101000000,sz.002591,5.4000,5.4200,5.3900,5.4100,667600,3603384.0000,3
2025-02-27,20250227101500000,sz.002591,5.4100,5.4300,5.4100,5.4200,808200,4377704.0000,3
2025-02-27,20250227102000000,sz.002591,5.4200,5.4500,5.4100,5.4400,429600,2330048.0000,3
2025-02-27,20250227102500000,sz.002591,5.4400,5.4400,5.4200,5.4300,259200,1407184.0000,3
2025-02-27,20250227103000000,sz.002591,5.4300,5.4400,5.4100,5.4200,539400,2925112.0000,3
2025-02-27,20250227103500000,sz.002591,5.4200,5.4200,5.4000,5.4000,450000,2434264.0000,3
2025-02-27,20250227104000000,sz.002591,5.4000,5.4100,5.3800,5.3800,678800,3659128.0000,3
2025-02-27,20250227104500000,sz.002591,5.3800,5.4000,5.3800,5.3900,393500,2121072.0000,3
2025-02-27,20250227105000000,sz.002591,5.3900,5.4100,5.3900,5.4000,244100,1317040.0000,3
2025-02-27,20250227105500000,sz.002591,5.4000,5.4000,5.3700,5.3800,363500,1955784.0000,3
2025-02-27,20250227110000000,sz.002591,5.3800,5.3900,5.3700,5.3900,432000,2325544.0000,3
2025-02-27,20250227110500000,sz.002591,5.3900,5.4000,5.3800,5.3900,192900,1039080.0000,3
2025-02-27,20250227111000000,sz.002591,5.3900,5.3900,5.3800,5.3800,251900,1355768.0000,3
2025-02-27,20250227111500000,sz.002591,5.3800,5.3900,5.3700,5.3700,313400,1686384.0000,3
2025-02-27,20250227112000000,sz.002591,5.3700,5.3700,5.3400,5.3400,621600,3329232.0000,3
2025-02-27,20250227112500000,sz.002591,5.3400,5.3600,5.3400,5.3500,356500,1905856.0000,3
2025-02-27,20250227113000000,sz.002591,5.3500,5.3600,5.3300,5.3300,355000,1894824.0000,3
2025-02-27,20250227130500000,sz.002591,5.3300,5.3400,5.3300,5.3300,329300,1756664.0000,3
2025-02-27,20250227131000000,sz.002591,5.3300,5.3400,5.3000,5.3000,422800,2249376.0000,3
2025-02-27,20250227131500000,sz.002591,5.3000,5.3100,5.2800,5.2900,759800,4022408.0000,3
2025-02-27,20250227132000000,sz.002591,5.2900,5.3100,5.2900,5.3000,379600,2010472.0000,3
2025-02-27,20250227132500000,sz.002591,5.3000,5.3300,5.3000,5.3200,371200,1972608.0000,3
2025-02-27,20250227133000000,sz.002591,5.3200,5.3200,5.2900,5.2900,253100,1342584.0000,3
2025-02-27,20250227133500000,sz.002591,5.2900,5.3000,5.2900,5.3000,259700,1374960.0000,3
2025-02-27,20250227134000000,sz.002591,5.3000,5.3000,5.2700,5.2800,412400,2178352.0000,3
2025-02-27,20250227134500000,sz.002591,5.2800,5.3000,5.2700,5.3000,254700,1346384.0000,3
2025-02-27,20250227135000000,sz.002591,5.3000,5.3000,5.2800,5.3000,220100,1165152.0000,3
2025-02-27,20250227135500000,sz.002591,5.3000,5.3300,5.3000,5.3100,282700,1501376.0000,3
2025-02-27,20250227140000000,sz.002591,5.3100,5.3200,5.3100,5.3200,79200,420992.0000,3
2025-02-27,20250227140500000,sz.002591,5.3200,5.3200,5.3100,5.3100,376800,2001456.0000,3
2025-02-27,20250227141000000,sz.002591,5.3100,5.3300,5.3000,5.3300,431200,2290304.0000,3
2025-02-27,20250227141500000,sz.002591,5.3300,5.3500,5.3100,5.3400,343300,1831344.0000,3
2025-02-27,20250227142000000,sz.002591,5.3400,5.3600,5.3300,5.3500,226900,1212800.0000,3
2025-02-27,20250227142500000,sz.002591,5.3500,5.3800,5.3500,5.3700,392200,2104288.0000,3
2025-02-27,20250227143000000,sz.002591,5.3700,5.3800,5.3500,5.3700,396700,2129296.0000,3
2025-02-27,20250227143500000,sz.002591,5.3700,5.3800,5.3600,5.3700,354500,1902304.0000,3
2025-02-27,20250227144000000,sz.002591,5.3600,5.3800,5.3500,5.3800,284400,1526976.0000,3
2025-02-27,20250227144500000,sz.002591,5.3800,5.4100,5.3700,5.4100,492200,2650832.0000,3
2025-02-27,20250227145000000,sz.002591,5.4100,5.4300,5.4000,5.4200,629000,3404336.0000,3
2025-02-27,20250227145500000,sz.002591,5.4200,5.4200,5.3800,5.3800,611900,3306816.0000,3
2025-02-27,20250227150000000,sz.002591,5.3800,5.3900,5.3800,5.3800,860500,4630880.0000,3
2025-02-28,20250228093500000,sz.002591,5.3800,5.4100,5.3300,5.3600,1481900,7959362.0000,3
2025-02-28,20250228094000000,sz.002591,5.3600,5.3700,5.3300,5.3500,664600,3555086.0000,3
2025-02-28,20250228094500000,sz.002591,5.3500,5.3500,5.3000,5.3100,809300,4310689.0000,3
2025-02-28,20250228095000000,sz.002591,5.3100,5.3600,5.3000,5.3400,968000,5170453.0000,3
2025-02-28,20250228095500000,sz.002591,5.3400,5.3400,5.3100,5.3200,339600,1806092.0000,3
2025-02-28,20250228100000000,sz.002591,5.3200,5.4600,5.3200,5.4000,1609700,8674818.0000,3
2025-02-28,20250228100500000,sz.002591,5.4000,5.4400,5.3300,5.3900,1572400,8505980.0000,3
2025-02-28,20250228101000000,sz.002591,5.3900,5.4200,5.3900,5.4100,501500,2708880.0000,3
2025-02-28,20250228101500000,sz.002591,5.4100,5.4200,5.4000,5.4100,389100,2106244.0000,3
2025-02-28,20250228102000000,sz.002591,5.4100,5.4100,5.3800,5.4000,362100,1953832.0000,3
