股票代码,股票名称,总市值,所属板块,申万一级行业,主力净流入,最新价
301489,思泉新材,15662212505,4,广东板块,150859232.0,8.19
688800,瑞可达,21680131652,4,江苏板块,91682048.0,8.16
301232,飞沃科技,14940771337,4,湖南板块,117513296.0,8.03
688630,芯碁微装,26518088724,4,安徽板块,-114775856.0,8.01
002597,金禾实业,16026620560,4,安徽板块,29616315.0,8.0
300852,四会富仕,8825453652,4,广东板块,-11973073.0,7.99
301252,同星科技,6980549400,4,浙江板块,11515595.0,7.98
688256,寒武纪-U,492907795213,4,北京板块,119524096.0,7.97
000811,冰轮环境,20494670390,4,山东板块,2021376.0,7.95
300594,朗进科技,2860939233,4,山东板块,13177104.0,7.94
301206,三元生物,6027282603,4,山东板块,33584511.0,7.93
002897,意华股份,12594490012,4,浙江板块,202532601.0,7.91
300167,ST迪威迅,2285625380,4,广东板块,18251457.0,7.9
002384,东山精密,157023713718,4,江苏板块,594741504.0,7.81
000792,盐湖股份,206424244824,4,青海板块,129543824.0,7.76
605289,罗曼股份,12783309525,4,上海板块,-162317696.0,7.71
688210,统联精密,9925183272,4,广东板块,-54258618.0,7.69
600590,泰豪科技,12861275830,4,江西板块,209468608.0,7.64
300476,胜宏科技,274750846717,4,广东板块,1401764864.0,7.62
300776,帝尔激光,25252122194,4,湖北板块,35213022.0,7.56
688033,天宜新材,6335978177,4,北京板块,91626164.0,7.44
300197,节能铁汉,6019555102,4,广东板块,35265645.0,7.41
002536,飞龙股份,18427635569,4,河南板块,68008064.0,7.4
002800,天顺股份,3383063149,4,新疆板块,11175486.0,7.34
300900,广联航空,11783007975,4,黑龙江,107634496.0,7.28
300249,依米康,8078549810,4,四川板块,202344671.0,7.25
603678,火炬电子,20677637116,4,福建板块,70506627.0,7.23
300658,延江股份,7407328977,4,福建板块,67089186.0,7.23
002534,西子洁能,17086515018,4,浙江板块,35011310.0,7.18
688059,华锐精密,12323369156,4,湖南板块,-54179268.0,7.16
300170,汉得信息,25044566670,4,上海板块,342179328.0,7.03
688281,华秦科技,27652294979,4,陕西板块,23584278.0,7.01
605060,联德股份,17575245600,4,浙江板块,29444583.0,6.99
300602,飞荣达,23652748470,4,广东板块,228787104.0,6.97
688419,耐科装备,6110186024,4,安徽板块,-4605391.0,6.96
301662,宏工科技,15483200000,4,广东板块,43274893.0,6.95
601208,东材科技,34285609085,4,四川板块,-296127136.0,6.93
301172,君逸数码,5286512000,4,四川板块,33169391.0,6.91
000962,东方钽业,27691805100,4,宁夏板块,-90615056.0,6.88
600869,远东股份,33822935849,4,青海板块,88702355.0,6.87
301326,捷邦科技,11049697364,4,广东板块,817600.0,6.83
002448,中原内配,10132414104,4,河南板块,44797250.0,6.82
688233,神工股份,15983193324,4,辽宁板块,25604483.0,6.82
688633,星球石墨,3979549420,4,江苏板块,2029387.0,6.79
300903,科翔股份,12874380668,4,广东板块,59286499.0,6.79
300964,本川智能,5035210220,4,江苏板块,27195636.0,6.79
002054,德美化工,5553970007,4,广东板块,115854502.0,6.77
600391,航发科技,17562882324,4,四川板块,43863390.0,6.76
688387,信科移动-U,55691437500,4,湖北板块,327221567.0,6.68
002796,世嘉科技,12853048662,4,江苏板块,33252564.0,6.64
300547,川环科技,8242434612,4,四川板块,59773412.0,6.59
301182,凯旺科技,4936733984,4,河南板块,23246641.0,6.53
688787,海天瑞声,9048173748,4,北京板块,602521.0,6.53
688372,伟测科技,19868877272,4,上海板块,81440469.0,6.52
300806,斯迪克,24836334559,4,江苏板块,51943497.0,6.49
300487,蓝晓科技,37696267144,4,陕西板块,35465282.0,6.49
300708,聚灿光电,10187229312,4,江苏板块,49358071.0,6.48
688143,长盈通,7858204538,4,湖北板块,47099520.0,6.47
300383,光环新网,29678257904,4,北京板块,376106000.0,6.45
002323,雅博股份,5259720752,4,山东板块,108069738.0,6.44
301157,华塑科技,3642000000,4,浙江板块,8230192.0,6.4
688519,南亚新材,28313382841,4,上海板块,54701683.0,6.4
301282,金禄电子,4934719955,4,广东板块,-27832776.0,6.35
300772,运达股份,15823507348,4,浙江板块,15502200.0,6.35
301396,宏景科技,14659390563,4,广东板块,138109172.0,6.34
300819,聚杰微纤,8468875800,4,江苏板块,92032039.0,6.33
601126,四方股份,37393275480,4,北京板块,15816227.0,6.3
301348,蓝箭电子,7209600000,4,广东板块,80756733.0,6.3
300672,国科微,33459829902,4,湖南板块,109645056.0,6.29
601096,宏盛华源,18084048395,4,山东板块,111909405.0,6.29
300836,佰奥智能,5941147601,4,江苏板块,-20303130.0,6.2
600960,渤海汽车,6045278694,4,山东板块,56931968.0,6.18
603045,福达合金,4231306642,4,浙江板块,13599862.0,6.15
300990,同飞股份,16179432378,4,河北板块,53380953.0,6.14
003031,中瓷电子,37220881925,4,河北板块,94307367.0,6.14
300225,*ST金泰,2557811194,4,上海板块,5814769.0,6.11
002487,大金重工,44897554170,4,辽宁板块,103212103.0,6.09
688700,东威科技,13657830247,4,江苏板块,18518307.0,6.07
002851,麦格米特,72977674206,4,广东板块,240416848.0,6.06
000733,振华科技,32213869024,4,贵州板块,-17154963.0,6.04
300604,长川科技,94164379996,4,浙江板块,234154944.0,6.04
600172,黄河旋风,13498846695,4,河南板块,240576192.0,6.0
688337,普源精电,9096587646,4,江苏板块,-4935938.0,5.99
300355,蒙草生态,7122834840,4,内蒙古,3523737.0,5.97
688228,开普云,8819427226,4,广东板块,-40315867.0,5.95
600589,大位科技,18647453818,4,广东板块,206827024.0,5.9
600861,北京人力,10082467508,5,北京板块,3114442.0,-1.22
600188,兖矿能源,170536794443,5,山东板块,-254467238.0,-1.22
688775,影石创新,88215990000,2,广东板块,-18322709.0,-1.22
003016,欣贺股份,3738437131,5,福建板块,-4669420.0,-1.22
603365,水星家纺,5299800297,5,上海板块,-1199165.0,-1.22
000975,山金国际,85189839090,5,内蒙古,-10223769.0,-1.22
600272,开开实业,3603584685,5,上海板块,-3156136.0,-1.22
003012,东鹏控股,8388113396,5,广东板块,-9360632.0,-1.23
000858,五 粮 液,403221439559,5,四川板块,-371847678.0,-1.23
600390,五矿资本,25324108534,5,湖南板块,-3984814.0,-1.23
601975,招商南油,18814985606,5,江苏板块,-146840265.0,-1.23
002646,天佑德酒,4235314490,5,青海板块,-9614735.0,-1.23
603051,鹿山新材,4026275439,5,广东板块,1521933.0,-1.23
688816,易思维,7460000000,2,浙江板块,-16125209.0,-1.23
002940,昂利康,6467405643,5,浙江板块,3842234.0,-1.23
301211,亨迪药业,5349456000,2,湖北板块,-1920339.0,-1.23
600129,太极集团,9710474238,5,重庆板块,-22804369.0,-1.23
002253,*ST智胜,2344255127,5,四川板块,-8548594.0,-1.24
603122,合富中国,6679323182,5,上海板块,-17991097.0,-1.24
002088,鲁阳节能,6147208580,5,山东板块,-5347053.0,-1.24
300945,曼卡龙,5021292412,2,浙江板块,-6910713.0,-1.24
002474,榕基软件,5462916000,5,福建板块,-19070983.0,-1.24
600076,康欣新材,5364728034,5,山东板块,-4577803.0,-1.24
301159,三维天地,3576664000,2,北京板块,-17040054.0,-1.24
002403,爱仕达,4063818247,5,浙江板块,-3763170.0,-1.24
600825,新华传媒,6645486726,5,上海板块,-11170009.0,-1.24
002670,国盛证券,30709793443,5,江西板块,-38891859.0,-1.24
600365,ST通葡,1439275100,5,吉林板块,-712285.0,-1.25
603533,掌阅科技,13206405765,5,北京板块,15184832.0,-1.25
300087,荃银高科,8251259551,2,安徽板块,-28600679.0,-1.25
605338,巴比食品,6827649867,5,上海板块,-2416634.0,-1.25
300902,国安达,3885137996,2,福建板块,-10544270.0,-1.25
600718,东软集团,12268389653,5,辽宁板块,5235445.0,-1.25
688222,成都先导,11711876400,2,四川板块,-25218349.0,-1.25
603801,志邦家居,4117651244,5,安徽板块,3561065.0,-1.25
002157,正邦科技,29230513781,5,江西板块,-42223401.0,-1.25
603335,迪生力,2701592426,5,广东板块,-5476077.0,-1.25
002165,红 宝 丽,9279105343,5,江苏板块,-155867334.0,-1.25
605555,德昌股份,8781012386,5,浙江板块,-6037350.0,-1.25
601069,西部黄金,32285808919,5,新疆板块,-114534185.0,-1.25
601058,赛轮轮胎,51787579079,5,山东板块,-23341740.0,-1.25
301378,通达海,3644718000,2,江苏板块,-9668371.0,-1.26
300347,泰格医药,52092076025,2,浙江板块,-36109160.0,-1.26
300332,天壕能源,4758175433,2,北京板块,-13109298.0,-1.26
688373,盟科药业-U,4121114226,2,上海板块,1323458.0,-1.26
300517,海波重科,2517193221,2,湖北板块,-3548492.0,-1.26
301367,瑞迈特,7100800000,2,北京板块,-5819253.0,-1.26
301017,漱玉平民,6355853181,2,山东板块,-13633967.0,-1.26
002212,天融信,10155097898,5,广东板块,-35165655.0,-1.26
603072,天和磁材,11580749600,5,内蒙古,-8076867.0,-1.26
300697,电工合金,8124979200,2,江苏板块,-38479437.0,-1.26
002237,恒邦股份,25696568232,5,山东板块,-65416275.0,-1.26
002462,嘉事堂,4553548143,5,北京板块,-9848048.0,-1.27
301507,民生健康,5558682005,2,浙江板块,-2934423.0,-1.27
603040,新坐标,13697442840,5,浙江板块,-11363419.0,-1.27
600997,开滦股份,9876115073,5,河北板块,-21105107.0,-1.27
600547,山东黄金,214822715865,5,山东板块,-257265168.0,-1.27
600527,江南高纤,4035002902,5,江苏板块,-12582284.0,-1.27
300338,ST开元,1562183805,2,湖南板块,-3337939.0,-1.27
688006,杭可科技,18255045876,2,浙江板块,-14524279.0,-1.27
002883,中设股份,1692743679,5,江苏板块,-951156.0,-1.28
601398,工商银行,2480587549339,5,北京板块,-440703712.0,-1.28
603613,国联股份,19461726329,5,北京板块,-30058910.0,-1.28
300457,赢合科技,17923084510,2,广东板块,-22499557.0,-1.28
300016,北陆药业,5645617825,2,北京板块,-16713774.0,-1.28
000553,安道麦A,14374938596,5,湖北板块,881132.0,-1.28
301160,翔楼新材,7705897809,2,江苏板块,-4218512.0,-1.28
601566,九牧王,6637059083,5,福建板块,-7171037.0,-1.28
600097,开创国际,2968338407,5,上海板块,-15137604.0,-1.28
300600,国瑞科技,4304650442,2,江苏板块,-15188619.0,-1.28
002024,ST易购,14267742132,5,江苏板块,-4754865.0,-1.28
600362,江西铜业,197029303145,5,江西板块,-409611224.0,-1.28
600933,爱柯迪,18995644591,5,浙江板块,-12786234.0,-1.28
300838,浙江力诺,2330448420,2,浙江板块,-4260202.0,-1.29
